date,budget,emails,reviewed,true_positives,available_malicious
08/01/2010,0.001,1344,2,0,0
08/01/2010,0.005,1344,7,0,0
08/01/2010,0.01,1344,14,0,0
08/02/2010,0.001,30514,31,0,0
08/02/2010,0.005,30514,153,0,0
08/02/2010,0.01,30514,306,0,0
08/03/2010,0.001,30530,31,0,0
08/03/2010,0.005,30530,153,0,0
08/03/2010,0.01,30530,306,0,0
08/04/2010,0.001,30619,31,0,0
08/04/2010,0.005,30619,154,0,0
08/04/2010,0.01,30619,307,0,0
08/05/2010,0.001,30596,31,0,0
08/05/2010,0.005,30596,153,0,0
08/05/2010,0.01,30596,306,0,0
08/06/2010,0.001,30623,31,0,0
08/06/2010,0.005,30623,154,0,0
08/06/2010,0.01,30623,307,0,0
08/07/2010,0.001,1411,2,0,0
08/07/2010,0.005,1411,8,0,0
08/07/2010,0.01,1411,15,0,0
08/08/2010,0.001,1570,2,0,0
08/08/2010,0.005,1570,8,0,0
08/08/2010,0.01,1570,16,0,0
08/09/2010,0.001,30470,31,0,0
08/09/2010,0.005,30470,153,0,0
08/09/2010,0.01,30470,305,0,0
08/10/2010,0.001,30503,31,0,0
08/10/2010,0.005,30503,153,0,0
08/10/2010,0.01,30503,306,0,0
08/11/2010,0.001,30548,31,0,0
08/11/2010,0.005,30548,153,0,0
08/11/2010,0.01,30548,306,0,0
08/12/2010,0.001,30580,31,0,8
08/12/2010,0.005,30580,153,0,8
08/12/2010,0.01,30580,306,0,8
08/13/2010,0.001,30453,31,1,1
08/13/2010,0.005,30453,153,1,1
08/13/2010,0.01,30453,305,1,1
08/14/2010,0.001,1569,2,0,0
08/14/2010,0.005,1569,8,0,0
08/14/2010,0.01,1569,16,0,0
08/15/2010,0.001,1658,2,0,4
08/15/2010,0.005,1658,9,0,4
08/15/2010,0.01,1658,17,0,4
08/16/2010,0.001,30475,31,0,10
08/16/2010,0.005,30475,153,0,10
08/16/2010,0.01,30475,305,0,10
08/17/2010,0.001,30338,31,0,28
08/17/2010,0.005,30338,152,0,28
08/17/2010,0.01,30338,304,0,28
08/18/2010,0.001,30452,31,0,1
08/18/2010,0.005,30452,153,0,1
08/18/2010,0.01,30452,305,0,1
08/19/2010,0.001,30447,31,0,0
08/19/2010,0.005,30447,153,0,0
08/19/2010,0.01,30447,305,0,0
08/20/2010,0.001,30437,31,0,0
08/20/2010,0.005,30437,153,0,0
08/20/2010,0.01,30437,305,0,0
08/21/2010,0.001,1538,2,0,0
08/21/2010,0.005,1538,8,0,0
08/21/2010,0.01,1538,16,0,0
08/22/2010,0.001,1434,2,0,0
08/22/2010,0.005,1434,8,0,0
08/22/2010,0.01,1434,15,0,0
08/23/2010,0.001,30467,31,0,0
08/23/2010,0.005,30467,153,0,0
08/23/2010,0.01,30467,305,0,0
08/24/2010,0.001,30413,31,0,0
08/24/2010,0.005,30413,153,0,0
08/24/2010,0.01,30413,305,0,0
08/25/2010,0.001,30383,31,0,0
08/25/2010,0.005,30383,152,0,0
08/25/2010,0.01,30383,304,0,0
08/26/2010,0.001,30405,31,0,0
08/26/2010,0.005,30405,153,0,0
08/26/2010,0.01,30405,305,0,0
08/27/2010,0.001,30309,31,0,0
08/27/2010,0.005,30309,152,0,0
08/27/2010,0.01,30309,304,0,0
08/28/2010,0.001,1391,2,0,0
08/28/2010,0.005,1391,7,0,0
08/28/2010,0.01,1391,14,0,0
08/29/2010,0.001,1574,2,0,0
08/29/2010,0.005,1574,8,0,0
08/29/2010,0.01,1574,16,0,0
08/30/2010,0.001,30487,31,0,0
08/30/2010,0.005,30487,153,0,0
08/30/2010,0.01,30487,305,0,0
08/31/2010,0.001,30395,31,0,0
08/31/2010,0.005,30395,152,0,0
08/31/2010,0.01,30395,304,0,0
09/01/2010,0.001,30348,31,0,0
09/01/2010,0.005,30348,152,0,0
09/01/2010,0.01,30348,304,0,0
09/02/2010,0.001,30519,31,0,0
09/02/2010,0.005,30519,153,0,0
09/02/2010,0.01,30519,306,0,0
09/03/2010,0.001,30505,31,0,0
09/03/2010,0.005,30505,153,0,0
09/03/2010,0.01,30505,306,0,0
09/04/2010,0.001,1492,2,0,0
09/04/2010,0.005,1492,8,0,0
09/04/2010,0.01,1492,15,0,0
09/05/2010,0.001,1569,2,0,0
09/05/2010,0.005,1569,8,0,0
09/05/2010,0.01,1569,16,0,0
09/06/2010,0.001,1281,2,0,0
09/06/2010,0.005,1281,7,0,0
09/06/2010,0.01,1281,13,0,0
09/07/2010,0.001,30448,31,0,0
09/07/2010,0.005,30448,153,0,0
09/07/2010,0.01,30448,305,0,0
09/08/2010,0.001,30381,31,0,0
09/08/2010,0.005,30381,152,0,0
09/08/2010,0.01,30381,304,0,0
09/09/2010,0.001,30309,31,0,0
09/09/2010,0.005,30309,152,0,0
09/09/2010,0.01,30309,304,0,0
09/10/2010,0.001,30143,31,0,0
09/10/2010,0.005,30143,151,0,0
09/10/2010,0.01,30143,302,0,0
09/11/2010,0.001,1425,2,0,0
09/11/2010,0.005,1425,8,0,0
09/11/2010,0.01,1425,15,0,0
09/12/2010,0.001,1596,2,0,0
09/12/2010,0.005,1596,8,0,0
09/12/2010,0.01,1596,16,0,0
09/13/2010,0.001,30527,31,0,0
09/13/2010,0.005,30527,153,0,0
09/13/2010,0.01,30527,306,0,0
09/14/2010,0.001,30330,31,0,0
09/14/2010,0.005,30330,152,0,0
09/14/2010,0.01,30330,304,0,0
09/15/2010,0.001,30263,31,0,0
09/15/2010,0.005,30263,152,0,0
09/15/2010,0.01,30263,303,0,0
09/16/2010,0.001,30464,31,0,0
09/16/2010,0.005,30464,153,0,0
09/16/2010,0.01,30464,305,0,0
09/17/2010,0.001,30247,31,0,0
09/17/2010,0.005,30247,152,0,0
09/17/2010,0.01,30247,303,0,0
09/18/2010,0.001,1473,2,0,0
09/18/2010,0.005,1473,8,0,0
09/18/2010,0.01,1473,15,0,0
09/19/2010,0.001,1402,2,0,0
09/19/2010,0.005,1402,8,0,0
09/19/2010,0.01,1402,15,0,0
09/20/2010,0.001,30252,31,0,0
09/20/2010,0.005,30252,152,0,0
09/20/2010,0.01,30252,303,0,0
09/21/2010,0.001,30182,31,0,0
09/21/2010,0.005,30182,151,0,0
09/21/2010,0.01,30182,302,0,0
09/22/2010,0.001,30107,31,0,0
09/22/2010,0.005,30107,151,0,0
09/22/2010,0.01,30107,302,0,0
09/23/2010,0.001,30281,31,0,0
09/23/2010,0.005,30281,152,0,0
