date,emails,reviewed,true_positives,false_positives,available_malicious,oracle_true_positives,reward,oracle_reward
08/01/2010,1344,14,0,14,0,0,-14.0,-14.0
08/02/2010,30514,306,0,306,0,0,-306.0,-306.0
08/03/2010,30530,306,0,306,0,0,-306.0,-306.0
08/04/2010,30619,307,0,307,0,0,-307.0,-307.0
08/05/2010,30596,306,0,306,0,0,-306.0,-306.0
08/06/2010,30623,307,0,307,0,0,-307.0,-307.0
08/07/2010,1411,15,0,15,0,0,-15.0,-15.0
08/08/2010,1570,16,0,16,0,0,-16.0,-16.0
08/09/2010,30470,305,0,305,0,0,-305.0,-305.0
08/10/2010,30503,306,0,306,0,0,-306.0,-306.0
08/11/2010,30548,306,0,306,0,0,-306.0,-306.0
08/12/2010,30580,306,0,306,8,8,-306.0,-218.0
08/13/2010,30453,305,1,304,1,1,-294.0,-294.0
08/14/2010,1569,16,0,16,0,0,-16.0,-16.0
08/15/2010,1658,17,0,17,4,4,-17.0,27.0
08/16/2010,30475,305,5,300,10,10,-250.0,-195.0
08/17/2010,30338,304,28,276,28,28,4.0,4.0
08/18/2010,30452,305,1,304,1,1,-294.0,-294.0
08/19/2010,30447,305,0,305,0,0,-305.0,-305.0
08/20/2010,30437,305,0,305,0,0,-305.0,-305.0
08/21/2010,1538,16,0,16,0,0,-16.0,-16.0
08/22/2010,1434,15,0,15,0,0,-15.0,-15.0
08/23/2010,30467,305,0,305,0,0,-305.0,-305.0
08/24/2010,30413,305,0,305,0,0,-305.0,-305.0
08/25/2010,30383,304,0,304,0,0,-304.0,-304.0
08/26/2010,30405,305,0,305,0,0,-305.0,-305.0
08/27/2010,30309,304,0,304,0,0,-304.0,-304.0
08/28/2010,1391,14,0,14,0,0,-14.0,-14.0
08/29/2010,1574,16,0,16,0,0,-16.0,-16.0
08/30/2010,30487,305,0,305,0,0,-305.0,-305.0
08/31/2010,30395,304,0,304,0,0,-304.0,-304.0
09/01/2010,30348,304,0,304,0,0,-304.0,-304.0
09/02/2010,30519,306,0,306,0,0,-306.0,-306.0
09/03/2010,30505,306,0,306,0,0,-306.0,-306.0
09/04/2010,1492,15,0,15,0,0,-15.0,-15.0
09/05/2010,1569,16,0,16,0,0,-16.0,-16.0
09/06/2010,1281,13,0,13,0,0,-13.0,-13.0
